Name,Type,Size,Scale,Source,Description
ListingId,Int32,4,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Address,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_0,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_1,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_10,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_11,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_12,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_13,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_14,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_2,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_3,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_4,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_5,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_6,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_7,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_8,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbIds_9,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_0,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_1,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_10,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_11,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_12,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_13,String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_14,String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_2,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_3,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_4,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_5,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_6,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_7,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_8,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AdjacentSuburbNames_9,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
AgencyReference,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_0_FullName,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_0_MobilePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_0_OfficePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_0_Photo,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_0_UrlSlug,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_1_FullName,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_1_MobilePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_1_OfficePhoneNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_1_Photo,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_1_UrlSlug,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Branding_BackgroundColor,String,7,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Branding_DisableBanner,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Branding_LargeBannerURL,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Branding_OfficeLocation,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Branding_StrokeColor,String,7,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Branding_TextColor,String,7,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_FaxNumber,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Id,Int32,4,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_IsLicensedPropertyAgency,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_IsRealEstateAgency,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Logo,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Logo2,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Name,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
